Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
E. globulus,17/01/2011,1,Amb,400,1052,Rewatered  drought,-0.489433795,0.02206849,430.0540441,0.865356755,0.190722612,6,0,1.420000017,16.75661659,17.84913635,16.09911346,399.0863953,399.9117432,11.46134186,11.83782673,59.98746109,61.95793533,300.3544922,0.118461683
E. globulus,17/01/2011,1,Amb,400,1052,Rewatered  drought,-0.499955871,0.021920895,431.1070126,0.865409276,0.189477655,6,0,1.420000017,16.75708961,17.84825325,16.099123,399.1085205,399.9557495,11.46218681,11.83616352,59.99008179,61.94737625,300.3956604,0.133997709
E. globulus,17/01/2011,1,Amb,400,1055,Well watered,-0.847002561,0.073606773,414.3548331,0.612822006,0.435322751,6,0,1.420000017,16.59902763,17.47294807,16.099226,397.8010864,399.1460266,13.02122307,13.87879658,68.83267975,73.36598206,300.3457947,0.021361949
E. globulus,17/01/2011,1,Amb,400,1055,Well watered,-0.848191467,0.073918346,414.2488978,0.612822369,0.437071541,6,0,1.420000017,16.59771347,17.47016144,16.09902382,397.7438965,399.0898743,13.01420403,13.87523079,68.80154419,73.35349274,300.3440247,0.009709902
E. globulus,17/01/2011,1,Amb,400,1055,Well watered,-0.822217586,0.074201154,413.5506908,0.612859703,0.438684912,6,0,1.420000017,16.59729195,17.46902084,16.09921837,397.7503052,399.0432129,13.00911331,13.87336254,68.77674866,73.34587097,300.3292542,0.008415277
E. globulus,17/01/2011,1,Amb,400,1055,Well watered,-0.814283663,0.074043839,413.3876601,0.612976425,0.437883646,6,0,1.420000017,16.5974102,17.46748543,16.09908867,397.7438049,399.0215149,13.00760365,13.87027359,68.76818848,73.32892609,300.3304443,0.012946618
E. globulus,17/01/2011,1,Amb,400,1055,Well watered,-0.772601889,0.073968308,412.4460773,0.613136534,0.437571518,6,0,1.420000017,16.59755898,17.46776009,16.09963989,397.8052979,399.0000916,13.00685215,13.86897182,68.76381683,73.3216095,300.3083191,-0.011004576
E. globulus,17/01/2011,1,Amb,400,1058,Sustained drought,-0.533592531,0.002726341,706.3017434,0.840745195,0.02321508,6,0,1.420000017,16.87604713,18.17737389,16.09595871,399.1413574,400.1889038,12.46408558,12.50988865,64.74546814,64.98339081,300.302948,-0.006473259
E. globulus,17/01/2011,1,Amb,400,1058,Sustained drought,-0.481435526,0.002832908,665.1768183,0.840300486,0.02410805,6,0,1.420000017,16.87566376,18.17561913,16.0960331,399.1239319,400.0666504,12.4645071,12.51207638,64.74895477,64.99606323,300.2745972,0.034308478
E. globulus,17/01/2011,1,Amb,400,1058,Sustained drought,-0.495076137,0.003027242,655.0634517,0.839893076,0.025745774,6,0,1.420000017,16.87592888,18.17521095,16.09619713,399.144989,400.1135559,12.46476936,12.51556492,64.74944305,65.01329803,300.3044434,0.089332461
