Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi,CiCa
E. globulus,2011/01/17,1,Amb,640,1023,Well watered,16.80148209,0.488398113,529.8852783,6.242487512,1.64426619,6,0,1.420000017,28.78175545,31.18285561,28.07974052,641.0805054,616.3087769,22.0330677,29.30254936,55.1803627,73.38630676,500.1374512,2000.445313,0.859772403
E. globulus,2011/01/17,1,Amb,640,1024,Sustained drought,5.829868724,0.030184084,295.4631411,0.901340148,2.927860938,6,0,1.420000017,29.10976982,32.63593292,28.0690918,640.3726807,632.6942749,19.26174355,20.32112885,47.34934616,49.95353317,500.1148682,2001.570068,0.466991962
E. globulus,2011/01/17,1,Amb,640,1024,Sustained drought,5.766041403,0.030121518,298.2314051,0.899335984,2.927383349,6,0,1.420000017,29.10869598,32.63384628,28.06898117,640.3164673,632.7160645,19.26250076,20.31954193,47.3554039,49.95406342,500.11026,2001.344849,0.471351088
E. globulus,2011/01/17,1,Amb,640,1024,Sustained drought,5.763251041,0.03012485,298.4118844,0.899146125,2.926475862,6,0,1.420000017,29.10913658,32.63089371,28.06932449,640.3057861,632.7087402,19.26344299,20.32028008,47.35676956,49.95486832,500.1008606,2001.188477,0.471641793
E. globulus,2011/01/17,1,Amb,640,1024,Sustained drought,5.778255586,0.030125457,297.6225714,0.898846815,2.92547758,6,0,1.420000017,29.108284,32.6272316,28.06934357,640.3121948,632.6972046,19.26342392,20.31993484,47.35932922,49.95677185,500.0888977,2001.03186,0.470402855
E. globulus,2011/01/17,1,Amb,640,1024,Sustained drought,5.686109309,0.030159686,302.8918494,0.89947353,2.924231222,6,0,1.420000017,29.10770226,32.6230278,28.06965828,640.2657471,632.7609253,19.26379204,20.32101631,47.3610611,49.96030426,500.0993652,2000.889282,0.478682923
E. globulus,2011/01/17,1,Elv,400,1025,Rewatered  drought,9.976723458,0.34457722,315.4435522,7.206647521,2.483748024,6,0,,32.60943985,34.03640747,32.08403397,400.8434143,385.5605164,20.40753555,28.79361725,41.15914154,58.07269287,500.7684631,1998.875244,0.818142779
E. globulus,2011/01/17,1,Elv,400,1025,Rewatered  drought,10.24070664,0.344116918,313.8841612,7.20666123,2.486384001,6,0,,32.61161041,34.04593658,32.08487701,401.1272583,385.528717,20.40987587,28.79574966,41.15878677,58.06983948,500.7807312,1998.821289,0.814165449
E. globulus,2011/01/17,1,Elv,400,1025,Rewatered  drought,10.3121308,0.344467485,313.5163247,7.210615022,2.485713174,6,0,,32.61293793,34.04320145,32.08534241,401.1864319,385.5009155,20.40400314,28.79438972,41.1437149,58.06253815,500.7866821,1998.801392,0.813269987
E. globulus,2011/01/17,1,Elv,400,1025,Rewatered  drought,10.27728205,0.345124331,313.82321,7.219604504,2.48500141,6,0,,32.61332703,34.04153442,32.0857048,401.1713867,385.5234375,20.39582062,28.79656219,41.12627792,58.06559753,500.7918396,1998.793335,0.814018499
