Species,Date,Day,Temp,CO2,Water,Organ,StarchW,SolSugW
E. globulus,22/03/11,63,Elv,400,Sustained drought,Stem,0.71831,81.398101
E. globulus,22/03/11,63,Amb,640,Well watered,Leaf,45.511848,74.708679
E. globulus,22/03/11,63,Amb,400,Well watered,Leaf,22.371429,66.29948
E. globulus,22/03/11,63,Amb,640,Well watered,Root,1.293991,17.102563
E. globulus,22/03/11,63,Amb,400,Well watered,Root,1.426471,16.793925
E. globulus,22/03/11,63,Amb,640,Well watered,Stem,2.122271,36.017346
E. globulus,22/03/11,63,Amb,400,Well watered,Stem,1.653846,53.703864
E. globulus,22/03/11,63,Elv,640,Well watered,Leaf,33.402985,91.328798
E. globulus,22/03/11,63,Elv,400,Well watered,Leaf,8.042857,66.84872
E. globulus,22/03/11,63,Elv,640,Well watered,Root,0.834906,27.756292
E. globulus,22/03/11,63,Elv,400,Well watered,Root,0.760369,17.621418
E. globulus,22/03/11,63,Elv,640,Well watered,Stem,1.596567,29.434727
E. globulus,22/03/11,63,Elv,400,Well watered,Stem,1.364865,25.935818
